code,description,unit,price
PVCFGY10400,PVC 45° elbow 400 mm PVCFGY10400,each,23087.81
PVCFCU10020,PVC Elongated 90° bend 20 mm PVCFCU10020,each,50.10
PVCFCU10025,PVC Elongated 90° bend 25 mm PVCFCU10025,each,58.86
PVCFCU10032,PVC Elongated 90° bend 32 mm PVCFCU10032,each,73.89
PVCFCU10040,PVC Elongated 90° bend 40 mm PVCFCU10040,each,96.44
PVCFCU10050,PVC Elongated 90° bend 50 mm PVCFCU10050,each,128.98
PVCFCU10063,PVC Elongated 90° bend 63 mm PVCFCU10063,each,185.35
PVCFCU10075,PVC Elongated 90° bend 75 mm PVCFCU10075,each,380.32
PVCFCU10090,PVC Elongated 90° bend 90 mm PVCFCU10090,each,514.46
PVCFCU10110,PVC Elongated 90° bend 110 mm PVCFCU10110,each,833.57
PVCFCU10125,PVC Elongated 90° bend 125 mm PVCFCU10125,each,3646.88
PVCFCU10140,PVC Elongated 90° bend 140 mm PVCFCU10140,each,3749.53
PVCFCU10160,PVC Elongated 90° bend 160 mm PVCFCU10160,each,4070.17
PVCFCU10200,PVC Elongated 90° bend 200 mm PVCFCU10200,each,9299.05
PVCFCU10250,PVC Elongated 90° bend 250 mm PVCFCU10250,each,16112.54
PVCFTI10016,PVC 90° tee 16 mm PVCFTI10016,each,22.15
PVCFTI10020,PVC 90° tee 20 mm PVCFTI10020,each,16.79
PVCFTI10025,PVC 90° tee 25 mm PVCFTI10025,each,19.51
PVCFTI10032,PVC 90° tee 32 mm PVCFTI10032,each,26.85
PVCFTI10040,PVC 90° tee 40 mm PVCFTI10040,each,40.63
PVCFTI10050,PVC 90° tee 50 mm PVCFTI10050,each,57.33
PVCFTI10063,PVC 90° tee 63 mm PVCFTI10063,each,90.36
PVCFTI10075,PVC 90° tee 75 mm PVCFTI10075,each,167.98
PVCFTI10090,PVC 90° tee 90 mm PVCFTI10090,each,245.62
PVCFTI10110,PVC 90° tee 110 mm PVCFTI10110,each,383.06
PVCFTI10125,PVC 90° tee 125 mm PVCFTI10125,each,820.55
PVCFTI10140,PVC 90° tee 140 mm PVCFTI10140,each,1101.88
PVCFTI10160,PVC 90° tee 160 mm PVCFTI10160,each,1317.20
PVCFTI10200,PVC 90° tee 200 mm PVCFTI10200,each,2511.13
PVCFTI10225,PVC 90° tee 225 mm PVCFTI10225,each,2868.00
PVCFTI10250,PVC 90° tee 250 mm PVCFTI10250,each,6809.24
PVCFTI10315,PVC 90° tee 315 mm PVCFTI10315,each,12572.63
PVCFTI10355,PVC 90° tee 355 mm PVCFTI10355,each,39076.81
PVCFTI10400,PVC 90° tee 400 mm PVCFTI10400,each,39076.81
PVCFTR100200016,PVC 90° reducing tee 20 x 16 mm PVCFTR100200016,each,24.74
PVCFTR100250016,PVC 90° reducing tee 25 x 16 mm PVCFTR100250016,each,22.15
PVCFTR100250020,PVC 90° reducing tee 25 x 20 mm PVCFTR100250020,each,20.84
PVCFTR100320016,PVC 90° reducing tee 32 x 16 mm PVCFTR100320016,each,29.95
PVCFTR100320020,PVC 90° reducing tee 32 x 20 mm PVCFTR100320020,each,29.95
PVCFTR100320025,PVC 90° reducing tee 32 x 25 mm PVCFTR100320025,each,29.26
PVCFTR100400016,PVC 90° reducing tee 40 x 16 mm PVCFTR100400016,each,45.59
PVCFTR100400020,PVC 90° reducing tee 40 x 20 mm PVCFTR100400020,each,45.59
PVCFTR100400025,PVC 90° reducing tee 40 x 25 mm PVCFTR100400025,each,45.59
PVCFTR100400032,PVC 90° reducing tee 40 x 32 mm PVCFTR100400032,each,45.59
PVCFTR100500020,PVC 90° reducing tee 50 x 20 mm PVCFTR100500020,each,63.83
PVCFTR100500025,PVC 90° reducing tee 50 x 25 mm PVCFTR100500025,each,63.83
PVCFTR100500032,PVC 90° reducing tee 50 x 32 mm PVCFTR100500032,each,63.83
PVCFTR100500040,PVC 90° reducing tee 50 x 40 mm PVCFTR100500040,each,63.83
PVCFTR100630020,PVC 90° reducing tee 63 x 20 mm PVCFTR100630020,each,96.37
PVCFTR100630025,PVC 90° reducing tee 63 x 25 mm PVCFTR100630025,each,96.37
PVCFTR100630032,PVC 90° reducing tee 63 x 32 mm PVCFTR100630032,each,96.37
PVCFTR100630040,PVC 90° reducing tee 63 x 40 mm PVCFTR100630040,each,96.37
PVCFTR100630050,PVC 90° reducing tee 63 x 50 mm PVCFTR100630050,each,96.37
PVCFTR100750032,PVC 90° reducing tee 75 x 32 mm PVCFTR100750032,each,179.74
PVCFTR100750040,PVC 90° reducing tee 75 x 40 mm PVCFTR100750040,each,179.74
PVCFTR100750050,PVC 90° reducing tee 75 x 50 mm PVCFTR100750050,each,179.74
PVCFTR100750063,PVC 90° reducing tee 75 x 63 mm PVCFTR100750063,each,179.74
PVCFTR100900040,PVC 90° reducing tee 90 x 40 mm PVCFTR100900040,each,264.40
PVCFTR100900050,PVC 90° reducing tee 90 x 50 mm PVCFTR100900050,each,264.40
PVCFTR100900063,PVC 90° reducing tee 90 x 63 mm PVCFTR100900063,each,264.40
PVCFTR100900075,PVC 90° reducing tee 90 x 75 mm PVCFTR100900075,each,264.40
PVCFTR101100050,PVC 90° reducing tee 110 x 50 mm PVCFTR101100050,each,411.58
PVCFTR101100063,PVC 90° reducing tee 110 x 63 mm PVCFTR101100063,each,411.58
PVCFTR101100075,PVC 90° reducing tee 110 x 75 mm PVCFTR101100075,each,411.58
PVCFTR101100090,PVC 90° reducing tee 110 x 90 mm PVCFTR101100090,each,411.58
PVCFTR101250063,PVC 90° reducing tee 125 x 63 mm PVCFTR101250063,each,1298.28
PVCFTR101250075,PVC 90° reducing tee 125 x 75 mm PVCFTR101250075,each,1298.28
PVCFTR101250090,PVC 90° reducing tee 125 x 90 mm PVCFTR101250090,each,1298.28
PVCFTR101250110,PVC 90° reducing tee 125 x 110 mm PVCFTR101250110,each,1298.28
PVCFTR101400075,PVC 90° reducing tee 140 x 75 mm PVCFTR101400075,each,1952.23
PVCFTR101400090,PVC 90° reducing tee 140 x 90 mm PVCFTR101400090,each,1952.23
PVCFTR101400110,PVC 90° reducing tee 140 x 110 mm PVCFTR101400110,each,1952.23
