code,description,unit,price
MST-0158,PIPE SEAMLESS ASTM/ASME A/SA 106 GRADE B 40 x SCH160 6.000Mtr ASTRON APPROVED,m,185.30
MST-0159,PIPE SEAMLESS ASTM/ASME A/SA 106 GRADE B 40 x SCH40 6.000Mtr ASTRON APPROVED,m,140.67
MST-0160,PIPE SEAMLESS ASTM/ASME A/SA 106 GRADE B 40 x SCH80 6.000Mtr ASTRON APPROVED,m,134.00
MST-0161,PIPE SEAMLESS ASTM/ASME A/SA 106 GRADE B 50 x SCH40 6.000Mtr ASTRON APPROVED,m,131.26
MST-0162,PIPE SEAMLESS ASTM/ASME A/SA 106 GRADE B 50 x SCH80 6.000Mtr ASTRON APPROVED,m,186.70
MST-0163,PIPE SEAMLESS ASTM/ASME A/SA 106 GRADE B 65 x SCH160 6.000Mtr ASTRON APPROVED,m,368.71
MST-0164,PIPE SEAMLESS ASTM/ASME A/SA 106 GRADE B 65 x SCH40 6.000Mtr ASTRON APPROVED,m,247.04
MST-0165,PIPE SEAMLESS ASTM/ASME A/SA 106 GRADE B 65 x SCH80 6.000Mtr ASTRON APPROVED,m,278.43
MST-0166,PIPE SEAMLESS ASTM/ASME A/SA 106 GRADE B 80 x SCH40 6.000Mtr ASTRON APPROVED,m,266.01
MST-0167,PIPE SEAMLESS ASTM/ASME A/SA 106 GRADE B 80 x SCH80 6.000Mtr ASTRON APPROVED,m,406.22
MST-0168,PIPE SEAMLESS ASTM/ASME A/SA 106 GRADE B 90 x SCH40 6.000Mtr ASTRON APPROVED,m,387.65
MST-0169,PIPE UNCOATED PLAIN ENDED CQ HR SANS62 100 x MED 6.000Mtr SCARFED,m,194.62
MST-0170,PIPE UNCOATED PLAIN ENDED CQ HR SANS62 100 x MED 6.000Mtr UNSCARFED,m,191.32
MST-0171,PIPE UNCOATED PLAIN ENDED CQ HR SANS62 125 x MED 6.000Mtr SCARFED,m,257.15
MST-0172,PIPE UNCOATED PLAIN ENDED CQ HR SANS62 125 x MED 6.000Mtr UNSCARFED,m,252.83
MST-0173,PIPE UNCOATED PLAIN ENDED CQ HR SANS62 15 x HVY 6.000Mtr UNSCARFED,m,27.84
MST-0174,PIPE UNCOATED PLAIN ENDED CQ HR SANS62 15 x MED 6.000Mtr UNSCARFED,m,22.02
MST-0175,PIPE UNCOATED PLAIN ENDED CQ HR SANS62 150 x HVY 6.000Mtr SCARFED,m,355.76
MST-0176,PIPE UNCOATED PLAIN ENDED CQ HR SANS62 150 x MED 6.000Mtr SCARFED,m,305.34
MST-0177,PIPE UNCOATED PLAIN ENDED CQ HR SANS62 150 x MED 6.000Mtr UNSCARFED,m,300.16
MST-0178,PIPE UNCOATED PLAIN ENDED CQ HR SANS62 20 x HVY 6.000Mtr UNSCARFED,m,32.28
MST-0179,PIPE UNCOATED PLAIN ENDED CQ HR SANS62 20 x MED 6.000Mtr UNSCARFED,m,28.31
MST-0180,PIPE UNCOATED PLAIN ENDED CQ HR SANS62 25 x HVY 6.000Mtr UNSCARFED,m,50.04
MST-0181,PIPE UNCOATED PLAIN ENDED CQ HR SANS62 25 x MED 6.000Mtr UNSCARFED,m,39.13
MST-0182,PIPE UNCOATED PLAIN ENDED CQ HR SANS62 32 x HVY 6.000Mtr UNSCARFED,m,64.75
MST-0183,PIPE UNCOATED PLAIN ENDED CQ HR SANS62 32 x MED 6.000Mtr UNSCARFED,m,50.14
MST-0184,PIPE UNCOATED PLAIN ENDED CQ HR SANS62 40 x HVY 6.000Mtr UNSCARFED,m,75.11
MST-0185,PIPE UNCOATED PLAIN ENDED CQ HR SANS62 40 x MED 6.000Mtr UNSCARFED,m,57.63
MST-0186,PIPE UNCOATED PLAIN ENDED CQ HR SANS62 50 x HVY 6.000Mtr SCARFED,m,106.19
MST-0187,PIPE UNCOATED PLAIN ENDED CQ HR SANS62 50 x MED 6.000Mtr UNSCARFED,m,81.86
MST-0188,PIPE UNCOATED PLAIN ENDED CQ HR SANS62 65 x HVY 6.000Mtr SCARFED,m,135.98
MST-0189,PIPE UNCOATED PLAIN ENDED CQ HR SANS62 65 x MED 6.000Mtr SCARFED,m,105.45
MST-0190,PIPE UNCOATED PLAIN ENDED CQ HR SANS62 65 x MED 6.000Mtr UNSCARFED,m,103.60
MST-0191,PIPE UNCOATED PLAIN ENDED CQ HR SANS62 80 x MED 6.000Mtr SCARFED,m,135.14
MST-0192,PIPE UNCOATED PLAIN ENDED CQ HR SANS62 80 x MED 6.000Mtr UNSCARFED,m,132.89
MST-0193,PIPE UNCOATED PLAIN ENDED CQ HR SANS719 GRADE A 200 x 3.5 6.100Mtr,m,356.65
MST-0194,PIPE UNCOATED PLAIN ENDED CQ HR SANS719 GRADE A 200 x 4.5 6.100Mtr,m,461.65
MST-0195,PIPE UNCOATED PLAIN ENDED CQ HR SANS719 GRADE A 200 x 6.0 6.100Mtr,m,629.33
MST-0196,PIPE UNCOATED PLAIN ENDED SANS 719 GRADE B 250 x 4.5 6.100Mtr,m,729.33
MST-0197,PIPE UNCOATED PLAIN ENDED SANS 719 GRADE B 250 x 6 6.100Mtr,m,966.98
MST-0198,PIPE UNCOATED PLAIN ENDED SANS 719 GRADE B 300 x 4.5 6.100Mtr,m,867.62
MST-0199,PIPE UNCOATED PLAIN ENDED SANS 719 GRADE B 300 x 6 6.100Mtr,m,1151.49
MST-0200,PIPE UNCOATED PLAIN ENDED SANS 719 GRADE B 350 x 4.5 6.100Mtr,m,972.70
MST-0201,PIPE UNCOATED PLAIN ENDED SANS 719 GRADE B 350 x 6 6.100Mtr,m,1291.42
MST-0202,PIPE UNCOATED PLAIN ENDED SANS 719 GRADE B 400 x 4.5 6.100Mtr,m,1110.82
MST-0203,PIPE UNCOATED PLAIN ENDED SANS 719 GRADE B 400 x 6 6.100Mtr,m,1475.66
MST-0204,PIPE UNCOATED PLAIN ENDED SANS 719 GRADE B 450 x 4.5 6.100Mtr,m,1252.02
MST-0205,PIPE UNCOATED PLAIN ENDED SANS 719 GRADE B 500 x 4.5 6.100Mtr,m,1454.92
MST-0206,PLUG SS316 BSP THREADED 150LB 10 x SQUARE,each,6.11
MST-0207,PLUG SS316 BSP THREADED 150LB 15 x SQUARE,each,17.47
MST-0208,PLUG SS316 BSP THREADED 150LB 20 x SQUARE,each,15.17
MST-0209,PLUG SS316 BSP THREADED 150LB 25 x SQUARE,each,18.61
MST-0210,PLUG SS316 BSP THREADED 150LB 32 x SQUARE,each,25.51
MST-0211,PLUG SS316 BSP THREADED 150LB 40 x SQUARE,each,29.70
MST-0212,PLUG SS316 BSP THREADED 150LB 50 x SQUARE,each,60.33
MST-0213,PLUG SS316 BSP THREADED 150LB 8 x SQUARE,each,8.93
MST-0214,REDUCER CONCENTRIC GRADE 304 L 100 x 50 x SCH10,each,227.70
MST-0215,REDUCER CONCENTRIC GRADE 304 L 100 x 80 x SCH10,each,122.01
MST-0216,REDUCER CONCENTRIC GRADE 304 L 150 x 100 x SCH10,each,520.10
MST-0217,REDUCER CONCENTRIC GRADE 304 L 25 x 15 x SCH10,each,59.69
MST-0218,REDUCER CONCENTRIC GRADE 304 L 40 x 25 x SCH10,each,42.11
MST-0219,REDUCER CONCENTRIC GRADE 304 L 50 x 25 x SCH10,each,126.18
MST-0220,REDUCER CONCENTRIC GRADE 304 L 50 x 40 x SCH10,each,51.92
MST-0221,REDUCER CONCENTRIC GRADE 304 L 65 x 50 x SCH10,each,81.79
MST-0222,REDUCER CONCENTRIC GRADE 304 L 80 x 50 x SCH10,each,99.08
MST-0223,REDUCER CONCENTRIC GRADE 316 L 100 x 50 x SCH10,each,196.13
MST-0224,REDUCER CONCENTRIC GRADE 316 L 100 x 80 x SCH10,each,212.82
MST-0225,REDUCER CONCENTRIC GRADE 316 L 150 x 100 x SCH10,each,668.68
MST-0226,REDUCER CONCENTRIC GRADE 316 L 25 x 15 x SCH10,each,73.29
MST-0227,REDUCER CONCENTRIC GRADE 316 L 25 x 20 x SCH10,each,51.39
MST-0228,REDUCER CONCENTRIC GRADE 316 L 40 x 25 x SCH10,each,98.53
MST-0229,REDUCER CONCENTRIC GRADE 316 L 50 x 25 x SCH10,each,150.34
MST-0230,REDUCER CONCENTRIC GRADE 316 L 50 x 32 x SCH10,each,73.95
MST-0231,REDUCER CONCENTRIC GRADE 316 L 50 x 40 x SCH10,each,122.92
MST-0232,REDUCER CONCENTRIC GRADE 316 L 80 x 40 x SCH10,each,227.19
MST-0233,REDUCER CONCENTRIC GRADE 316 L 80 x 50 x SCH10,each,158.02
MST-0234,SOCKET SS316 BSP THREADED 150LB 10,each,14.57
MST-0235,SOCKET SS316 BSP THREADED 150LB 100,each,433.83
MST-0236,SOCKET SS316 BSP THREADED 150LB 15,each,20.55
MST-0237,SOCKET SS316 BSP THREADED 150LB 20,each,27.42
MST-0238,SOCKET SS316 BSP THREADED 150LB 25,each,39.94
MST-0239,SOCKET SS316 BSP THREADED 150LB 32,each,43.30
MST-0240,SOCKET SS316 BSP THREADED 150LB 40,each,73.00
MST-0241,SOCKET SS316 BSP THREADED 150LB 50,each,106.39
MST-0242,SOCKET SS316 BSP THREADED 150LB 6,each,13.29
MST-0243,SOCKET SS316 BSP THREADED 150LB 65,each,124.74
MST-0244,SOCKET SS316 BSP THREADED 150LB 8,each,13.88
MST-0245,SOCKET SS316 BSP THREADED 150LB 80,each,248.92
MST-0246,TEE EQUAL GRADE 304 L 100 x SCH10,each,394.09
MST-0247,TEE EQUAL GRADE 304 L 15 x SCH10,each,31.06
MST-0248,TEE EQUAL GRADE 304 L 150 x SCH10,each,661.58
MST-0249,TEE EQUAL GRADE 304 L 20 x SCH10,each,47.14
MST-0250,TEE EQUAL GRADE 304 L 25 x SCH10,each,49.97
MST-0251,TEE EQUAL GRADE 304 L 40 x SCH10,each,358.30
MST-0252,TEE EQUAL GRADE 304 L 50 x SCH10,each,284.39
MST-0253,TEE EQUAL GRADE 304 L 80 x SCH10,each,201.25
MST-0254,TEE EQUAL GRADE 316 L 100 x SCH10,each,619.64
MST-0255,TEE EQUAL GRADE 316 L 25 x SCH10,each,79.06
MST-0256,TEE EQUAL GRADE 316 L 25 x SCH40,each,81.79
MST-0257,TEE EQUAL GRADE 316 L 32 x SCH10,each,93.47
MST-0258,TEE EQUAL GRADE 316 L 50 x SCH10,each,170.69
MST-0259,TEE EQUAL GRADE 316 L 50 x SCH40,each,219.38
MST-0260,TEE EQUAL GRADE 316 L 80 x SCH10,each,383.05
MST-0261,TEE EQUAL SS316 BSP THREADED 150LB 10 x F,each,30.94
MST-0262,TEE EQUAL SS316 BSP THREADED 150LB 15 x F,each,28.84
MST-0263,TEE EQUAL SS316 BSP THREADED 150LB 20 x F,each,43.16
MST-0264,TEE EQUAL SS316 BSP THREADED 150LB 25 x F,each,81.35
