description,unit,price
NIPPLE SS316 BSP THREADED 150LB 20 x BARREL,each,25.69
NIPPLE SS316 BSP THREADED 150LB 20 x SWAGE,each,24.41
NIPPLE SS316 BSP THREADED 150LB 25 x BARREL,each,35.32
NIPPLE SS316 BSP THREADED 150LB 25 x SWAGE,each,37.05
NIPPLE SS316 BSP THREADED 150LB 32 x BARREL,each,63.82
NIPPLE SS316 BSP THREADED 150LB 32 x SWAGE,each,55.47
NIPPLE SS316 BSP THREADED 150LB 40 x BARREL,each,64.70
NIPPLE SS316 BSP THREADED 150LB 40 x SWAGE,each,73.88
NIPPLE SS316 BSP THREADED 150LB 50 x BARREL,each,84.26
NIPPLE SS316 BSP THREADED 150LB 50 x SWAGE,each,149.08
NIPPLE SS316 BSP THREADED 150LB 6 x BARREL,each,10.60
NIPPLE SS316 BSP THREADED 150LB 65 x BARREL,each,113.20
NIPPLE SS316 BSP THREADED 150LB 8 x BARREL,each,10.60
NIPPLE SS316 BSP THREADED 150LB 80 x BARREL,each,203.74
NIPPLE SS316 BSP THREADED 150LB 80 x SWAGE,each,467.91
PLUG SS316 BSP THREADED 150LB 10 x SQUARE,each,6.11
PLUG SS316 BSP THREADED 150LB 15 x SQUARE,each,17.47
PLUG SS316 BSP THREADED 150LB 20 x SQUARE,each,15.17
PLUG SS316 BSP THREADED 150LB 25 x SQUARE,each,18.61
PLUG SS316 BSP THREADED 150LB 32 x SQUARE,each,25.51
PLUG SS316 BSP THREADED 150LB 40 x SQUARE,each,29.70
PLUG SS316 BSP THREADED 150LB 50 x SQUARE,each,60.33
PLUG SS316 BSP THREADED 150LB 8 x SQUARE,each,8.93
REDUCER CONCENTRIC GRADE 304 L 100 x 50 x SCH10,each,227.70
REDUCER CONCENTRIC GRADE 304 L 100 x 80 x SCH10,each,122.01
REDUCER CONCENTRIC GRADE 304 L 150 x 100 x SCH10,each,520.10
REDUCER CONCENTRIC GRADE 304 L 25 x 15 x SCH10,each,59.69
REDUCER CONCENTRIC GRADE 304 L 40 x 25 x SCH10,each,42.11
REDUCER CONCENTRIC GRADE 304 L 50 x 25 x SCH10,each,126.18
REDUCER CONCENTRIC GRADE 304 L 50 x 40 x SCH10,each,51.92
REDUCER CONCENTRIC GRADE 304 L 65 x 50 x SCH10,each,81.79
REDUCER CONCENTRIC GRADE 304 L 80 x 50 x SCH10,each,99.08
REDUCER CONCENTRIC GRADE 316 L 100 x 50 x SCH10,each,196.13
REDUCER CONCENTRIC GRADE 316 L 100 x 80 x SCH10,each,212.82
REDUCER CONCENTRIC GRADE 316 L 150 x 100 x SCH10,each,668.68
REDUCER CONCENTRIC GRADE 316 L 25 x 15 x SCH10,each,73.29
REDUCER CONCENTRIC GRADE 316 L 25 x 20 x SCH10,each,51.39
REDUCER CONCENTRIC GRADE 316 L 40 x 25 x SCH10,each,98.53
REDUCER CONCENTRIC GRADE 316 L 50 x 25 x SCH10,each,150.34
REDUCER CONCENTRIC GRADE 316 L 50 x 32 x SCH10,each,73.95
REDUCER CONCENTRIC GRADE 316 L 50 x 40 x SCH10,each,122.92
REDUCER CONCENTRIC GRADE 316 L 80 x 40 x SCH10,each,227.19
REDUCER CONCENTRIC GRADE 316 L 80 x 50 x SCH10,each,158.02
SOCKET SS316 BSP THREADED 150LB 10,each,14.57
SOCKET SS316 BSP THREADED 150LB 100,each,433.83
SOCKET SS316 BSP THREADED 150LB 15,each,20.55
SOCKET SS316 BSP THREADED 150LB 20,each,27.42
SOCKET SS316 BSP THREADED 150LB 25,each,39.94
SOCKET SS316 BSP THREADED 150LB 32,each,43.30
SOCKET SS316 BSP THREADED 150LB 40,each,73.00
SOCKET SS316 BSP THREADED 150LB 50,each,106.39
SOCKET SS316 BSP THREADED 150LB 6,each,13.29
SOCKET SS316 BSP THREADED 150LB 65,each,124.74
SOCKET SS316 BSP THREADED 150LB 8,each,13.88
SOCKET SS316 BSP THREADED 150LB 80,each,248.92
TEE EQUAL GRADE 304 L 100 x SCH10,each,394.09
TEE EQUAL GRADE 304 L 15 x SCH10,each,31.06
TEE EQUAL GRADE 304 L 150 x SCH10,each,661.58
TEE EQUAL GRADE 304 L 20 x SCH10,each,47.14
TEE EQUAL GRADE 304 L 25 x SCH10,each,49.97
TEE EQUAL GRADE 304 L 40 x SCH10,each,358.30
TEE EQUAL GRADE 304 L 50 x SCH10,each,284.39
TEE EQUAL GRADE 304 L 80 x SCH10,each,201.25
TEE EQUAL GRADE 316 L 100 x SCH10,each,619.64
TEE EQUAL GRADE 316 L 25 x SCH10,each,79.06
TEE EQUAL GRADE 316 L 25 x SCH40,each,81.79
TEE EQUAL GRADE 316 L 32 x SCH10,each,93.47
TEE EQUAL GRADE 316 L 50 x SCH10,each,170.69
TEE EQUAL GRADE 316 L 50 x SCH40,each,219.38
TEE EQUAL GRADE 316 L 80 x SCH10,each,383.05
TEE EQUAL SS316 BSP THREADED 150LB 10 x F,each,30.94
TEE EQUAL SS316 BSP THREADED 150LB 15 x F,each,28.84
TEE EQUAL SS316 BSP THREADED 150LB 20 x F,each,43.16
TEE EQUAL SS316 BSP THREADED 150LB 25 x F,each,81.35
TEE EQUAL SS316 BSP THREADED 150LB 32 x F,each,91.16
TEE EQUAL SS316 BSP THREADED 150LB 40 x F,each,108.08
TEE EQUAL SS316 BSP THREADED 150LB 50 x F,each,238.65
TEE EQUAL SS316 BSP THREADED 150LB 8 x F,each,15.34
TEE EQUAL SS316 BSP THREADED 150LB 80 x F,each,681.65
UNION SS316 BSP THREADED 150LB 10 x CF,each,53.47
UNION SS316 BSP THREADED 150LB 15 x CF,each,65.29
UNION SS316 BSP THREADED 150LB 20 x CF,each,87.65
UNION SS316 BSP THREADED 150LB 25 x CF,each,134.31
UNION SS316 BSP THREADED 150LB 32 x CF,each,189.41
UNION SS316 BSP THREADED 150LB 40 x CF,each,187.17
UNION SS316 BSP THREADED 150LB 50 x CF,each,277.41
UNION SS316 BSP THREADED 150LB 8 x CF,each,40.61
PIPE UNCOATED PLAIN ENDED CQ HR SANS62 100 x MED 6.000Mtr UNSCARFED,m,191.32
PIPE UNCOATED PLAIN ENDED CQ HR SANS62 100 x MED 6.000Mtr SCARFED,m,194.62
PIPE UNCOATED PLAIN ENDED CQ HR SANS62 125 x MED 6.000Mtr UNSCARFED,m,252.83
PIPE UNCOATED PLAIN ENDED CQ HR SANS62 125 x MED 6.000Mtr SCARFED,m,257.15
PIPE UNCOATED PLAIN ENDED CQ HR SANS62 15 x HVY 6.000Mtr UNSCARFED,m,27.84
PIPE UNCOATED PLAIN ENDED CQ HR SANS62 15 x MED 6.000Mtr UNSCARFED,m,22.02
PIPE UNCOATED PLAIN ENDED CQ HR SANS62 150 x HVY 6.000Mtr SCARFED,m,355.76
